Country code,Product name,Product code 1,Product code 2,Unit
WL,Oil seeds,p01.e,C_OILS,tonnes
WL,"Sugar cane, sugar beet",p01.f,C_SUGB,tonnes
WL,Plant-based fibers,p01.g,C_FIBR,tonnes
WL,Crops nec,p01.h,C_OTCR,tonnes
WL,Cattle,p01.i,C_CATL,tonnes
WL,Pigs,p01.j,C_PIGS,tonnes
WL,Poultry,p01.k,C_PLTR,tonnes
WL,Meat animals nec,p01.l,C_OMEA,tonnes
WL,Animal products nec,p01.m,C_OANP,tonnes
WL,Raw milk,p01.n,C_MILK,tonnes
WL,"Wool, silk-worm cocoons",p01.o,C_WOOL,tonnes
WL,Manure (conventional treatment),p01.w.1,C_MANC,tonnes
WL,Manure (biogas treatment),p01.w.2,C_MANB,tonnes
WL,"Products of forestry, logging and related services (02)",p02,C_FORE,tonnes
WL,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,tonnes
WL,"Coal, lignite and peat",p10,C_CLPT,tonnes
WL,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,C_COIL,tonnes
WL,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",p11.2,C_GASS,tonnes
WL,Other Hydrocarbons,p11.c,C_OGPL,tonnes
WL,Uranium and thorium ores (12),p12,C_ORAN,tonnes
WL,Iron ores,p13.1,C_IRON,tonnes
WL,Copper ores and concentrates,p13.20.11,C_COPO,tonnes
WL,Nickel ores and concentrates,p13.20.12,C_NIKO,tonnes
WL,Aluminium ores and concentrates,p13.20.13,C_ALUO,tonnes
WL,Precious metal ores and concentrates,p13.20.14,C_PREO,tonnes
WL,"Lead, zinc and tin ores and concentrates",p13.20.15,C_LZTO,tonnes
WL,Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,tonnes
WL,Stone,p14.1,C_STON,tonnes
WL,Sand and clay,p14.2,C_SDCL,tonnes
WL,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,C_CHMF,tonnes
WL,Products of meat cattle,p15.a,C_PCAT,tonnes
WL,Products of meat pigs,p15.b,C_PPIG,tonnes
WL,Products of meat poultry,p15.c,C_PPLT,tonnes
WL,Meat products nec,p15.d,C_POME,tonnes
WL,products of Vegetable oils and fats,p15.e,C_VOIL,tonnes
WL,Dairy products,p15.f,C_DAIR,tonnes
WL,Processed rice,p15.g,C_RICE,tonnes
WL,Sugar,p15.h,C_SUGR,tonnes
WL,Food products nec,p15.i,C_OFOD,tonnes
WL,Beverages,p15.j,C_BEVR,tonnes
WL,Fish products,p15.k,C_FSHP,tonnes
WL,Tobacco products (16),p16,C_TOBC,tonnes
WL,Textiles (17),p17,C_TEXT,tonnes
WL,Wearing apparel; furs (18),p18,C_GARM,tonnes
WL,Leather and leather products (19),p19,C_LETH,tonnes
WL,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,tonnes
WL,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,C_WOOW,tonnes
WL,Pulp,p21.1,C_PULP,tonnes
WL,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR,tonnes
WL,Paper and paper products,p21.2,C_PAPE,tonnes
WL,Printed matter and recorded media (22),p22,C_MDIA,tonnes
WL,Coke oven products,p23.1,C_COPR,tonnes
WL, Refined Petroleum,p23.2,C_REFP,tonnes
WL,Nuclear fuel,p23.3,C_NUCF,TJ
WL,"Plastics, basic",p24.a,C_PLAS,tonnes
WL,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",p24.a.w,C_PLAW,tonnes
WL,N-fertiliser,p24.b,C_NFER,tonnes
WL,P- and other fertiliser,p24.c,C_PFER,tonnes
WL,Chemicals nec; additives and biofuels,p24.4,C_CHBI,tonnes
WL,Rubber and plastic products (25),p25,C_RUBP,tonnes
WL,Glass and glass products,p26.a,C_GLAS,tonnes
WL,"Secondary glass for treatment, Re-processing of secondary glass into new glass",p26.w.1,C_GLAW,tonnes
WL,Ceramic goods,p26.b,C_CRMC,tonnes
WL,"Bricks, tiles and construction products, in baked clay",p26.c,C_BRIK,tonnes
WL,"Cement, lime and plaster",p26.d,C_CMNT,tonnes
WL,"Ash for treatment, Re-processing of ash into clinker",p26.d.w,C_ASHW,tonnes
WL,Other non-metallic mineral products,p26.e,C_ONMM,tonnes
WL,Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL,tonnes
WL,"Secondary steel for treatment, Re-processing of secondary steel into new steel",p27.a.w,C_STEW,tonnes
WL,Precious metals,p27.41,C_PREM,tonnes
WL,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",p27.41.w,C_PREW,tonnes
WL,Aluminium and aluminium products,p27.42,C_ALUM,tonnes
WL,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",p27.42.w,C_ALUW,tonnes
WL,"Lead, zinc and tin and products thereof",p27.43,C_LZTP,tonnes
WL,"Secondary lead for treatment, Re-processing of secondary lead into new lead",p27.43.w,C_LZTW,tonnes
WL,Copper products,p27.44,C_COPP,tonnes
WL,"Secondary copper for treatment, Re-processing of secondary copper into new copper",p27.44.w,C_COPW,tonnes
WL,Other non-ferrous metal products,p27.45,C_ONFM,tonnes
WL,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",p27.45.w,C_ONFW,tonnes
WL,Foundry work services,p27.5,C_METC,tonnes
WL,"Fabricated metal products, except machinery and equipment (28)",p28,C_FABM,tonnes
WL,Machinery and equipment n.e.c. (29),p29,C_MACH,tonnes
WL,Office machinery and computers (30),p30,C_OFMA,tonnes
WL,Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,tonnes
WL,"Radio, television and communication equipment and apparatus (32)",p32,C_RATV,tonnes
WL,"Medical, precision and optical instruments, watches and clocks (33)",p33,C_MEIN,tonnes
WL,"Motor vehicles, trailers and semi-trailers (34)",p34,C_MOTO,Meuro
WL,Other transport equipment (35),p35,C_OTRE,Meuro
WL,Furniture; other manufactured goods n.e.c. (36),p36,C_FURN,tonnes
WL,Secondary raw materials,p37,C_RYMS,Meuro
WL,"Bottles for treatment, Recycling of bottles by direct reuse",p37.w.1,C_BOTW,tonnes
WL,Electricity by coal,p40.11.a,C_POWC,TJ
WL,Electricity by gas,p40.11.b,C_POWG,TJ
WL,Electricity by nuclear,p40.11.c,C_POWN,TJ
WL,Electricity by hydro,p40.11.d,C_POWH,TJ
WL,Electricity by wind,p40.11.e,C_POWW,TJ
WL,Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,TJ
WL,Electricity by biomass and waste,p40.11.g,C_POWB,TJ
WL,Electricity by solar photovoltaic,p40.11.h,C_POWS,TJ
WL,Electricity by solar thermal,p40.11.i,C_POWE,TJ
WL,"Electricity by tide, wave, ocean",p40.11.j,C_POWO,TJ
WL,Electricity by Geothermal,p40.11.k,C_POWM,TJ
WL,Electricity nec,p40.11.l,C_POWZ,TJ
WL,Transmission services of electricity,p40.12,C_POWT,Meuro
WL,Distribution and trade services of electricity,p40.13,C_POWD,Meuro
WL,Biogas an other gases nec.,p40.2.1,C_BGAS,tonnes
WL,Distribution services of gaseous fuels through mains,p40.2.2,C_GASD,Meuro
WL,Steam and hot water supply services,p40.3,C_HWAT,TJ
WL,"Collected and purified water, distribution services of water (41)",p41,C_WATR,Meuro
WL,Construction work (45),p45,C_CONS,Meuro
WL,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",p45.w,C_CONW,tonnes
WL,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a,C_TDMO,Meuro
WL,Retail trade services of motor fuel,p50.b,C_TDFU,Meuro
WL,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51,C_TDWH,Meuro
WL,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52,C_TDRT,Meuro
WL,Hotel and restaurant services (55),p55,C_HORE,Meuro
WL,Railway transportation services,p60.1,C_TRAI,Meuro
WL,Other land transportation services,p60.2,C_TLND,Meuro
WL,Transportation services via pipelines,p60.3,C_TPIP,Meuro
WL,Sea and coastal water transportation services,p61.1,C_TWAS,Meuro
WL,Inland water transportation services,p61.2,C_TWAI,Meuro
WL,Air transport services (62),p62,C_TAIR,Meuro
WL,Supporting and auxiliary transport services; travel agency services (63),p63,C_TAUX,Meuro
WL,Post and telecommunication services (64),p64,C_PTEL,Meuro
